"Y1","Y2","Y3","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
9.02,264.8,10.94,0.02,0.74,0.42,1.35,1.14,0.56,1.16,31160,258.62,58947,8.3,85.32,6.12,18.83
13.28,526.6,9.87,0.18,0.75,0.32,1.41,1.89,0.63,0.88,46461,75.66,94697,1.63,101.52,8.64,19.7
9.27,118.6,6.14,0.25,0.75,0.33,1.47,0.67,1.1,1.07,13833,123.68,29626,8.94,107.64,11.88,16.87
6.7,37.1,12.93,0.31,0.79,0.29,1.35,0.96,0.39,1.24,6391,37.21,11688,5.82,85.32,7.92,14.63
6.69,57.7,9.78,0.38,0.72,0.3,1.4,0.67,0.73,1.49,11115,53.37,21955,4.8,131.76,10.08,22.17
9.42,51.6,13.22,0.24,0.7,0.56,1.2,0.98,0.28,2.03,6555,32.87,12243,5.01,116.64,18.72,22.62
7.24,64.7,17.29,0.31,0.66,0.42,1.15,1.16,0.1,1.84,11085,45.63,20193,4.12,138.24,13.68,26.44
5.39,48.3,7.11,0.42,0.69,0.26,1.09,0.54,0.68,1.22,9484,48.41,20122,5.1,156.96,16.56,22.26
5.61,15,22.49,0.51,0.71,0.16,1.26,1.23,0.87,1.72,3967,13.58,7612,3.49,137.52,14.76,19.13
5.59,87.5,12.14,0.31,0.73,0.45,1.36,0.78,0.49,1.75,15283,63.99,27404,4.19,135.72,7.92,18.28
6.57,108.4,15.25,0.37,0.65,0.31,1.15,1.16,0.16,1.46,20874,104.55,39648,5.01,155.52,18.36,28.23
6.54,267.3,31.34,0.16,0.82,0.08,1.87,4.44,0.85,1.6,19418,222.11,43799,11.44,48.6,8.28,12.39
4.23,34.2,11.56,0.18,0.8,0.68,1.17,1.06,0.13,1.47,3351,25.76,6235,7.67,42.84,14.04,11.64
5.22,26.8,30.14,0.43,0.83,0.03,1.61,2.13,0.49,1.38,6338,29.52,11524,4.66,142.2,16.92,8.62
18,43.6,19.71,0.4,0.7,0.02,1.34,1.21,0.09,1.41,9756,41.99,17309,4.3,145.8,11.16,20.1
11.03,72,23.56,0.31,0.74,0.22,1.22,2.2,0.79,1.39,11795,78.11,22225,6.62,120.52,14.76,19.41
